                               10.5.9.2,                              10.5.12.2,2013/08/04T19:21:07,2013/08/04T19:21:11,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:21:13,2013/08/04T19:21:13,         12.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:21:44,2013/08/04T19:21:44,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:02,2013/08/04T19:22:15,          0.154,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:10,2013/08/04T19:22:12,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:18,2013/08/04T19:22:21,          0.667,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:29,2013/08/04T19:22:29,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:31,2013/08/04T19:23:59,          0.011,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:32,2013/08/04T19:22:32,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:32,2013/08/04T19:23:10,          0.026,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:33,2013/08/04T19:22:44,          0.727,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:34,2013/08/04T19:22:40,          2.833,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:47,2013/08/04T19:22:47,          6.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:47,2013/08/04T19:22:52,          0.400,
                               10.5.9.2,                              10.5.12.2,2013/08/04T19:22:59,2013/08/04T19:23:00,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:24,2013/08/04T18:24:34,          0.300,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:26,2013/08/04T18:24:26,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:26,2013/08/04T18:24:27,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:26,2013/08/04T18:24:47,          1.524,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:29,2013/08/04T18:24:29,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:31,2013/08/04T18:25:31,          0.067,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:34,2013/08/04T18:24:49,          5.067,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          6.357,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:35,2013/08/04T18:24:52,          0.353,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:36,2013/08/04T18:24:46,          0.300,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:36,2013/08/04T18:24:49,          7.731,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:38,2013/08/04T18:24:38,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:39,2013/08/04T18:24:39,         13.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:40,2013/08/04T18:24:40,          8.000,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:42,2013/08/04T18:24:52,          0.300,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:53,2013/08/04T18:24:58,         10.600,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:57,2013/08/04T18:25:11,          7.625,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:57,2013/08/04T18:25:12,          4.333,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:24:57,2013/08/04T18:25:19,          0.955,
                               10.5.9.2,                              10.5.12.2,2013/08/04T18:25:12,2013/08/04T18:25:12,          6.000,
