                               10.5.9.2,                               10.5.4.2,2013/08/04T19:20:59,2013/08/04T19:21:14,          0.200,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:21:13,2013/08/04T19:21:14,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:21:28,2013/08/04T19:21:30,          9.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:21:40,2013/08/04T19:21:40,         20.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:21:40,2013/08/04T19:21:42,          7.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:00,2013/08/04T19:22:00,          6.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:29,2013/08/04T19:22:29,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:32,2013/08/04T19:22:35,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:32,2013/08/04T19:22:38,          0.333,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:32,2013/08/04T19:23:10,          0.026,
                               10.5.9.2,                               10.5.4.2,2013/08/04T19:22:33,2013/08/04T19:22:34,         21.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:23,2013/08/04T18:24:23,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:23,2013/08/04T18:24:30,          7.429,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:25,2013/08/04T18:24:25,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:26,2013/08/04T18:24:26,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:26,2013/08/04T18:25:17,          0.039,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:28,2013/08/04T18:24:28,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:30,2013/08/04T18:25:48,          0.064,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:33,2013/08/04T18:24:33,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          4.429,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:35,2013/08/04T18:24:52,          0.235,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:35,2013/08/04T18:25:44,          0.145,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:38,2013/08/04T18:24:38,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:39,2013/08/04T18:24:40,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:43,2013/08/04T18:25:43,          0.050,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:45,2013/08/04T18:24:45,         14.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:51,2013/08/04T18:24:51,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:24:57,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:25:11,          6.857,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:25:12,          6.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:25:17,          3.550,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:25:35,          0.421,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:57,2013/08/04T18:26:13,          0.336,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:58,2013/08/04T18:24:58,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:58,2013/08/04T18:25:11,          7.385,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:24:58,2013/08/04T18:25:12,          8.571,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:02,2013/08/04T18:26:09,          0.045,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:04,2013/08/04T18:25:04,         10.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:20,2013/08/04T18:25:20,         10.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:20,2013/08/04T18:25:21,         11.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:20,2013/08/04T18:25:34,          7.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:26,2013/08/04T18:25:26,         10.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:31,2013/08/04T18:25:41,          0.300,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:32,2013/08/04T18:25:32,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:35,2013/08/04T18:25:35,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:36,2013/08/04T18:25:36,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:43,2013/08/04T18:25:43,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:43,2013/08/04T18:25:53,          0.600,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:43,2013/08/04T18:26:12,          0.586,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:43,2013/08/04T18:26:18,          0.200,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:43,2013/08/04T18:27:14,          0.231,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:47,2013/08/04T18:25:47,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:48,2013/08/04T18:25:48,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:48,2013/08/04T18:25:58,          0.300,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:49,2013/08/04T18:25:49,         10.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:50,2013/08/04T18:25:51,         10.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:25:51,2013/08/04T18:25:51,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:04,2013/08/04T18:26:04,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:05,2013/08/04T18:26:05,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:05,2013/08/04T18:26:12,          0.857,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:05,2013/08/04T18:26:24,          0.368,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:07,2013/08/04T18:26:08,         12.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:09,2013/08/04T18:26:09,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:09,2013/08/04T18:26:19,          0.300,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:11,2013/08/04T18:26:11,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:18,2013/08/04T18:26:18,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:28,2013/08/04T18:26:33,          0.400,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:32,2013/08/04T18:26:32,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:32,2013/08/04T18:26:34,         51.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:33,2013/08/04T18:26:33,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:45,2013/08/04T18:26:45,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:45,2013/08/04T18:26:48,          6.667,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:50,2013/08/04T18:26:53,          1.267,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:26:50,2013/08/04T18:27:51,          0.049,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:12,2013/08/04T18:27:27,          6.067,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:12,2013/08/04T18:27:28,          1.875,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:13,2013/08/04T18:27:27,          4.714,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:13,2013/08/04T18:28:19,          0.076,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:16,2013/08/04T18:27:16,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:16,2013/08/04T18:28:16,          0.033,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:28,2013/08/04T18:27:29,         45.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:33,2013/08/04T18:28:38,          0.062,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:35,2013/08/04T18:27:49,          8.036,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:35,2013/08/04T18:27:50,          0.667,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:27:51,2013/08/04T18:27:51,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:00,2013/08/04T18:28:11,          5.182,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:02,2013/08/04T18:28:03,         11.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:02,2013/08/04T18:28:11,          7.778,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:07,2013/08/04T18:28:07,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:07,2013/08/04T18:28:11,         22.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:14,2013/08/04T18:28:14,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:16,2013/08/04T18:28:16,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:17,2013/08/04T18:29:20,          0.048,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:18,2013/08/04T18:28:18,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:19,2013/08/04T18:28:19,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:20,2013/08/04T18:28:20,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:20,2013/08/04T18:28:34,          7.686,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:22,2013/08/04T18:28:22,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:22,2013/08/04T18:28:30,          0.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:27,2013/08/04T18:28:28,         42.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:28,2013/08/04T18:28:33,         42.600,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:29,2013/08/04T18:28:29,         39.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:32,2013/08/04T18:28:32,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:38,2013/08/04T18:28:38,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:42,2013/08/04T18:28:56,          6.357,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:43,2013/08/04T18:28:56,          9.615,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:44,2013/08/04T18:28:44,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:44,2013/08/04T18:28:54,          0.300,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:44,2013/08/04T18:28:55,          0.364,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:28:54,2013/08/04T18:28:54,          7.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:01,2013/08/04T18:29:01,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:05,2013/08/04T18:29:19,          6.643,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:05,2013/08/04T18:29:20,          2.200,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:06,2013/08/04T18:29:08,        208.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:08,2013/08/04T18:29:08,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:14,2013/08/04T18:29:14,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T18:29:20,2013/08/04T18:29:20,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:20,2013/08/04T20:40:41,          0.952,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:29,2013/08/04T20:40:49,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:30,2013/08/04T20:40:30,          6.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:30,2013/08/04T20:40:39,          4.500,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:30,2013/08/04T20:40:48,          1.278,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:30,2013/08/04T20:40:49,          1.105,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:31,2013/08/04T20:40:32,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:32,2013/08/04T20:40:32,         13.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:32,2013/08/04T20:40:33,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:33,2013/08/04T20:40:33,          6.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:35,2013/08/04T20:40:35,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:35,2013/08/04T20:40:40,          1.800,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:47,2013/08/04T20:40:47,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:48,2013/08/04T20:40:48,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:48,2013/08/04T20:41:10,          1.773,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:40:49,2013/08/04T20:40:51,          6.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:41:02,2013/08/04T20:41:08,          5.833,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:41:02,2013/08/04T20:41:28,          5.154,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:41:08,2013/08/04T20:41:38,          7.800,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:41:19,2013/08/04T20:41:19,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/04T20:41:19,2013/08/04T20:41:43,          6.604,
