                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:10,2013/08/04T17:24:15,          9.800,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          3.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:12,         46.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:16,          9.200,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          4.783,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:37,          0.423,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:11,2013/08/04T17:24:58,          0.234,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:12,2013/08/04T17:24:12,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:12,2013/08/04T17:24:17,          9.400,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:14,2013/08/04T17:24:14,          2.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:14,2013/08/04T17:24:17,          0.667,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:14,2013/08/04T17:24:26,          0.333,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:15,2013/08/04T17:24:15,          3.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:15,2013/08/04T17:24:21,          7.833,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:16,2013/08/04T17:24:16,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:16,2013/08/04T17:24:31,          0.267,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:17,2013/08/04T17:24:17,          3.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:22,2013/08/04T17:24:29,          6.714,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:22,2013/08/04T17:24:31,         19.778,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:22,2013/08/04T17:24:39,          0.294,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:23,2013/08/04T17:24:38,          0.267,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:23,2013/08/04T17:24:39,          0.250,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:24,2013/08/04T17:24:32,         20.875,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:25,2013/08/04T17:24:29,         17.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:25,2013/08/04T17:24:33,         18.625,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:25,2013/08/04T17:24:54,          1.103,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:26,2013/08/04T17:24:26,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:26,2013/08/04T17:24:29,         11.333,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:26,2013/08/04T17:24:40,          0.214,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:26,2013/08/04T17:24:54,         13.214,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:29,2013/08/04T17:24:29,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:29,2013/08/04T17:24:38,          4.444,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:29,2013/08/04T17:24:39,          0.300,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:30,2013/08/04T17:24:32,         23.500,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:30,2013/08/04T17:24:35,          0.400,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:30,2013/08/04T17:24:38,         11.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:31,2013/08/04T17:24:31,         18.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:31,2013/08/04T17:25:01,          7.733,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:32,2013/08/04T17:24:32,          2.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:34,2013/08/04T17:24:38,         23.125,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:34,2013/08/04T17:24:39,         19.200,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:34,2013/08/04T17:25:03,          4.966,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:35,2013/08/04T17:25:02,          2.963,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:37,2013/08/04T17:24:37,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:37,2013/08/04T17:25:07,          0.500,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:38,2013/08/04T17:24:38,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:39,2013/08/04T17:24:39,          2.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:40,2013/08/04T17:24:40,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:44,2013/08/04T17:24:47,          6.333,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:45,2013/08/04T17:24:50,          9.200,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:45,2013/08/04T17:24:58,          0.231,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:45,2013/08/04T17:25:00,          0.200,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:47,2013/08/04T17:24:47,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:50,2013/08/04T17:24:50,          1.000,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:51,2013/08/04T17:24:59,          5.500,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:53,2013/08/04T17:25:09,          0.188,
                               10.5.1.2,                               10.5.2.2,2013/08/04T17:24:58,2013/08/04T17:24:58,          3.000,
