                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:11,2013/08/04T20:25:11,         44.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:11,2013/08/04T20:25:25,         10.143,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:11,2013/08/04T20:25:29,          8.278,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:12,2013/08/04T20:25:12,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:12,2013/08/04T20:25:13,          2.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:13,2013/08/04T20:25:13,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:14,2013/08/04T20:25:14,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:15,2013/08/04T20:25:15,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:15,2013/08/04T20:25:16,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:16,2013/08/04T20:25:16,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:17,2013/08/04T20:25:17,          3.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:17,2013/08/04T20:25:18,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:17,2013/08/04T20:25:23,          2.333,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:18,2013/08/04T20:25:18,         18.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:21,2013/08/04T20:25:21,          2.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:22,2013/08/04T20:25:22,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:22,2013/08/04T20:25:27,          5.200,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:27,2013/08/04T20:25:27,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:27,2013/08/04T20:25:28,         14.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:30,2013/08/04T20:25:30,          4.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:36,2013/08/04T20:26:00,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:36,2013/08/04T20:26:02,          3.231,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:37,2013/08/04T20:25:37,         22.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:38,2013/08/04T20:25:38,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:38,2013/08/04T20:25:39,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:38,2013/08/04T20:26:08,          6.033,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         19.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:40,2013/08/04T20:25:42,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:41,2013/08/04T20:25:41,         22.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:41,2013/08/04T20:26:11,          2.700,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:42,2013/08/04T20:25:42,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:42,2013/08/04T20:25:43,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:44,2013/08/04T20:25:44,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:45,2013/08/04T20:25:45,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:46,2013/08/04T20:25:46,         30.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:46,2013/08/04T20:26:16,         11.033,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:53,2013/08/04T20:25:53,          7.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:54,2013/08/04T20:26:24,          6.633,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:59,2013/08/04T20:25:59,          6.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:25:59,2013/08/04T20:26:00,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:00,2013/08/04T20:26:00,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:01,2013/08/04T20:26:31,          5.233,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:03,2013/08/04T20:26:32,          7.034,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:04,2013/08/04T20:26:04,         35.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:06,2013/08/04T20:26:36,          1.233,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:09,2013/08/04T20:26:09,          6.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:09,2013/08/04T20:26:10,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:09,2013/08/04T20:26:39,          6.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:10,2013/08/04T20:26:10,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:11,2013/08/04T20:26:11,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:14,2013/08/04T20:26:14,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:15,2013/08/04T20:26:16,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:16,2013/08/04T20:26:16,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:17,2013/08/04T20:26:17,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:17,2013/08/04T20:26:18,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:18,2013/08/04T20:26:18,          2.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:26,2013/08/04T20:26:26,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:28,2013/08/04T20:26:28,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:35,2013/08/04T20:26:35,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:36,2013/08/04T20:26:38,         13.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:37,2013/08/04T20:26:37,         19.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:37,2013/08/04T20:26:39,        384.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:37,2013/08/04T20:26:40,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:39,2013/08/04T20:26:40,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:39,2013/08/04T20:27:09,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:40,2013/08/04T20:26:40,         12.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:40,2013/08/04T20:26:41,          7.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:41,2013/08/04T20:27:11,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:43,2013/08/04T20:26:53,          0.300,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:44,2013/08/04T20:26:44,         14.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:44,2013/08/04T20:26:45,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:44,2013/08/04T20:26:46,        269.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:46,2013/08/04T20:26:46,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:49,2013/08/04T20:26:49,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:50,2013/08/04T20:26:51,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:51,2013/08/04T20:26:51,         12.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:52,2013/08/04T20:26:53,         11.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T20:26:53,2013/08/04T20:26:53,          1.000,
