                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:41,2013/08/04T00:26:41,         41.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:42,2013/08/04T00:26:42,         14.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:42,2013/08/04T00:26:43,         42.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:46,2013/08/04T00:26:46,         42.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:47,2013/08/04T00:26:47,         49.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:49,2013/08/04T00:26:49,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:49,2013/08/04T00:26:50,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:50,2013/08/04T00:26:51,         32.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:54,2013/08/04T00:26:54,         40.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:57,2013/08/04T00:26:57,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:26:59,2013/08/04T00:27:00,         44.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:00,2013/08/04T00:27:00,         40.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:03,2013/08/04T00:27:03,          1.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:04,2013/08/04T00:27:04,         44.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:09,2013/08/04T00:27:09,         10.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:10,2013/08/04T00:27:16,          6.167,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:15,2013/08/04T00:27:15,         83.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:17,2013/08/04T00:27:17,         38.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:17,2013/08/04T00:27:18,          4.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         62.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:21,2013/08/04T00:27:21,          8.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:24,2013/08/04T00:27:24,         47.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:27,2013/08/04T00:27:27,         42.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:30,2013/08/04T00:27:30,          9.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:33,2013/08/04T00:27:34,          4.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:37,2013/08/04T00:27:37,         51.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:38,2013/08/04T00:27:38,         58.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:43,2013/08/04T00:27:43,          5.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:45,2013/08/04T00:27:45,         85.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:48,2013/08/04T00:27:48,         26.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:50,2013/08/04T00:27:50,         15.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:53,2013/08/04T00:27:53,         52.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:57,2013/08/04T00:27:58,          6.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:58,2013/08/04T00:27:59,         35.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:27:59,2013/08/04T00:27:59,          3.000,
                              10.5.10.2,                              10.5.17.2,2013/08/04T00:28:05,2013/08/04T00:28:06,         29.000,
